Return_Button_Text 返回
Return_Button_Tooltip 返回到游戏
Options_Button_Text 设置
Options_Button_Tooltip 设置
Graphics_Button_Text 画质
Graphics_Button_Tooltip 画质
Display_Button_Text 显示
Display_Button_Tooltip 显示
Controls_Button_Text 控制
Controls_Button_Tooltip 控制
Exit_Button_Text 退出
Exit_Button_Timer 退出 [{0}]
Exit_Button_Tooltip 返回到菜单
Quit_Button 关闭游戏
Quit_Button_Timer 关闭游戏 [{0}]
Quit_Button_Tooltip Exit to desktop.
Suicide_Button_Text 自杀
Suicide_Button_Tooltip Respawn somewhere else.
Suicide_Button_Confirm 是
Suicide_Button_Confirm_Tooltip Die
Suicide_Button_Deny 否
Suicide_Button_Deny_Tooltip Live
Suicide_Disabled 已被禁用

Spy_Refresh_Button_Text Spy
Spy_Refresh_Button_Tooltip Refresh
Spy_Slay_Button_Text Slay
Spy_Slay_Button_Tooltip Kill + Permanent Ban

Server_WithVersion {0} v{1} on {2} [{3}]
VAC_Secure VAC Secure
VAC_Insecure VAC Insecure
BattlEye_Secure BattlEye Required
BattlEye_Insecure BattlEye Disabled
Streamer Streamer Mode

Favorite_On_Button_Text 收藏
Favorite_Off_Button_Text 取消收藏
Favorite_Button_Tooltip 收藏/取消收藏

Quicksave_Button 手动保存
Quicksave_Button_Tooltip 手动保存（注意，游戏在退出时是会自动保存的。）
