//
// Add any constant from the UnityEngine.KeyCode enum to translate it here. It doesn't matter if it's in the default English file.
// For example "Backslash обра́тный слэш" to translate the "\" key.
//

Alpha0 #1
Alpha1 #2
Alpha2 #3
Alpha3 #4
Alpha4 #5
Alpha5 #6
Alpha6 #7
Alpha7 #8
Alpha8 #9
Alpha9 #0

LeftParen Left Parenthesis
RightParen Right Parenthesis
LeftBracket Left Bracket
RightBracket Right Bracket
BackQuote Tilde

Keypad0 Keypad #1
Keypad1 Keypad #2
Keypad2 Keypad #3
Keypad3 Keypad #4
Keypad4 Keypad #5
Keypad5 Keypad #6
Keypad6 Keypad #7
Keypad7 Keypad #8
Keypad8 Keypad #9
Keypad9 Keypad #0

UpArrow Up Arrow
LeftArrow Left Arrow
RightArrow Right Arrow
DownArrow Down Arrow

PageUp Page Up
PageDown Page Down

CapsLock Caps Lock

RightShift Right Shift
LeftShift Left Shift
RightControl Right Control
LeftControl Left Control
RightAlt Right Alt
LeftAlt Left Alt
RightCommand Right Command
RightApple Right Apple
LeftCommand Left Command
LeftApple Left Apple
LeftWindows Left Windows
RightWindows Right Windows

Mouse0 Mouse #1
Mouse1 Mouse #2
Mouse2 Mouse #3
Mouse3 Mouse #4
Mouse4 Mouse #5
Mouse5 Mouse #6
